,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
15455,1cf-1.2.1.1.2.1,division,14.0,1cf-1.2.1.1.2.2,division,15.0,True,1.0,0.9,TMZ
15456,1cf-1.2.1.1.2.1.1,migration,6.0,1cf-1.2.1.1.2.1.2,migration,6.0,True,0.0,0.9,TMZ
15457,1cf-1.2.1.1.2.2.1,migration,5.0,1cf-1.2.1.1.2.2.2,migration,5.0,True,0.0,0.9,TMZ
15458,1cf-1.2.1.2.1,division,24.0,1cf-1.2.1.2.2,division,23.0,True,1.0,0.9,TMZ
15459,1cf-1.2.1.2.1.1,migration,2.0,1cf-1.2.1.2.1.2,migration,2.0,True,0.0,0.9,TMZ
15460,1cf-1.2.1.2.2.1,migration,3.0,1cf-1.2.1.2.2.2,migration,3.0,True,0.0,0.9,TMZ
15461,1cf-1.2.2.1,division,47.0,1cf-1.2.2.2,division,42.0,True,5.0,0.9,TMZ
15462,1cf-1.2.2.1.1,migration,6.0,1cf-1.2.2.1.2,migration,6.0,True,0.0,0.9,TMZ
15463,1cf-1.2.2.2.1,migration,11.0,1cf-1.2.2.2.2,migration,11.0,True,0.0,0.9,TMZ
15464,1cg-1.1,division,21.0,1cg-1.2,division,21.0,True,0.0,0.9,TMZ
15465,1cg-1.1.1,division,21.0,1cg-1.1.2,division,21.0,True,0.0,0.9,TMZ
15466,1cg-1.1.1.1,division,18.0,1cg-1.1.1.2,division,18.0,True,0.0,0.9,TMZ
15467,1cg-1.1.1.1.1,division,18.0,1cg-1.1.1.1.2,division,16.0,True,2.0,0.9,TMZ
15468,1cg-1.1.1.1.1.1,division,20.0,1cg-1.1.1.1.1.2,division,28.0,True,8.0,0.9,TMZ
15469,1cg-1.1.1.1.1.1.1,migration,19.0,1cg-1.1.1.1.1.1.2,division,18.0,False,1.0,0.9,TMZ
15470,1cg-1.1.1.1.1.1.2.1,migration,0.0,1cg-1.1.1.1.1.1.2.2,migration,0.0,True,0.0,0.9,TMZ
15471,1cg-1.1.1.1.1.2.1,migration,11.0,1cg-1.1.1.1.1.2.2,migration,11.0,True,0.0,0.9,TMZ
15472,1cg-1.1.1.1.2.1,division,9.0,1cg-1.1.1.1.2.2,division,32.0,True,23.0,0.9,TMZ
15473,1cg-1.1.1.1.2.1.1,division,15.0,1cg-1.1.1.1.2.1.2,division,25.0,True,10.0,0.9,TMZ
15474,1cg-1.1.1.1.2.1.1.1,division,6.0,1cg-1.1.1.1.2.1.1.2,migration,16.0,False,10.0,0.9,TMZ
15475,1cg-1.1.1.1.2.1.1.1.1,migration,9.0,1cg-1.1.1.1.2.1.1.1.2,migration,9.0,True,0.0,0.9,TMZ
15476,1cg-1.1.1.1.2.1.2.1,migration,6.0,1cg-1.1.1.1.2.1.2.2,migration,6.0,True,0.0,0.9,TMZ
15477,1cg-1.1.1.1.2.2.1,division,6.0,1cg-1.1.1.1.2.2.2,migration,9.0,False,3.0,0.9,TMZ
15478,1cg-1.1.1.1.2.2.1.1,migration,2.0,1cg-1.1.1.1.2.2.1.2,migration,2.0,True,0.0,0.9,TMZ
15479,1cg-1.1.1.2.1,division,39.0,1cg-1.1.1.2.2,division,17.0,True,22.0,0.9,TMZ
15480,1cg-1.1.1.2.1.1,migration,19.0,1cg-1.1.1.2.1.2,migration,19.0,True,0.0,0.9,TMZ
15481,1cg-1.1.1.2.2.1,division,10.0,1cg-1.1.1.2.2.2,division,17.0,True,7.0,0.9,TMZ
15482,1cg-1.1.1.2.2.1.1,division,13.0,1cg-1.1.1.2.2.1.2,division,20.0,True,7.0,0.9,TMZ
15483,1cg-1.1.1.2.2.1.1.1,division,11.0,1cg-1.1.1.2.2.1.1.2,migration,16.0,False,5.0,0.9,TMZ
15484,1cg-1.1.1.2.2.1.1.1.1,migration,4.0,1cg-1.1.1.2.2.1.1.1.2,division,3.0,False,1.0,0.9,TMZ
15485,1cg-1.1.1.2.2.1.1.1.2.1,migration,0.0,1cg-1.1.1.2.2.1.1.1.2.2,migration,0.0,True,0.0,0.9,TMZ
15486,1cg-1.1.1.2.2.1.2.1,migration,9.0,1cg-1.1.1.2.2.1.2.2,migration,9.0,True,0.0,0.9,TMZ
15487,1cg-1.1.1.2.2.2.1,division,3.0,1cg-1.1.1.2.2.2.2,division,22.0,True,19.0,0.9,TMZ
15488,1cg-1.1.1.2.2.2.1.1,division,19.0,1cg-1.1.1.2.2.2.1.2,division,17.0,True,2.0,0.9,TMZ
