index,id,name,size,seconds_since_birth,signal_mean,signal_std,simulation_frames,simulation_seconds,simulation_hours,simulation_days
13581,81,1cd,64,486000,0.5982119553120584,0.2722478006239371,135,486000,135.0,5.625
13582,82,1ce,114,486000,-0.4839057909023168,0.37930463207987036,135,486000,135.0,5.625
13583,83,1cf,16,486000,0.09857345248281923,0.3663434449082206,135,486000,135.0,5.625
13584,84,1cg,32,486000,0.35063039536184515,0.42869563450477166,135,486000,135.0,5.625
13585,85,1ch,16,486000,-0.061252009365225984,0.48168984831998946,135,486000,135.0,5.625
13586,86,1ci,32,486000,-0.18504794118701798,0.29085765157351834,135,486000,135.0,5.625
13587,87,1cj,12,486000,0.582915567473868,0.35696641822476427,135,486000,135.0,5.625
13588,88,1ck,183,486000,-0.5123043256737381,0.37783522748328713,135,486000,135.0,5.625
13589,89,1cl,16,486000,0.38503848602203095,0.5050105668515409,135,486000,135.0,5.625
13590,90,1cm,64,486000,-0.024178227373698458,0.4045681041421761,135,486000,135.0,5.625
13591,91,1cn,120,486000,0.045154379086754126,0.567196225975627,135,486000,135.0,5.625
13592,92,1co,32,486000,-0.05012691753555209,0.36199336693464007,135,486000,135.0,5.625
13593,93,1cp,32,486000,0.36511758126709176,0.37113503885379284,135,486000,135.0,5.625
13594,94,1cq,8,486000,0.18178709564075757,0.35174140467974696,135,486000,135.0,5.625
13595,95,1cr,16,486000,0.13233612311998863,0.3834982833055364,135,486000,135.0,5.625
13596,96,1cs,16,486000,0.1681468311999395,0.5419296912593656,135,486000,135.0,5.625
13597,97,1ct,32,486000,0.0944764539592366,0.34968164653950523,135,486000,135.0,5.625
13598,98,1cu,64,486000,0.34581748477671825,0.47420336427131804,135,486000,135.0,5.625
13599,99,1cv,32,486000,-0.4125842553802865,0.5106872259205744,135,486000,135.0,5.625
13600,0,1a,16,489600,-0.11744949242742059,0.38307795782637927,136,489600,136.0,5.666666666666667
13601,1,1b,32,489600,-0.6296486058498709,0.3029821901850834,136,489600,136.0,5.666666666666667
13602,2,1c,8,489600,0.27097682926287253,0.5921624555654104,136,489600,136.0,5.666666666666667
13603,3,1d,64,489600,0.20422729122403707,0.45745178295272637,136,489600,136.0,5.666666666666667
13604,4,1e,63,489600,0.002701570916868413,0.5173894191958693,136,489600,136.0,5.666666666666667
13605,5,1f,64,489600,0.027983294126171936,0.5070531491486002,136,489600,136.0,5.666666666666667
13606,6,1g,36,489600,-0.5995405361624512,0.2698623044889542,136,489600,136.0,5.666666666666667
13607,7,1h,16,489600,-0.004298073180929424,0.45249874348477465,136,489600,136.0,5.666666666666667
13608,8,1i,32,489600,0.13235027804523342,0.6263532704030788,136,489600,136.0,5.666666666666667
13609,9,1j,32,489600,0.3051197284668242,0.38172913861779073,136,489600,136.0,5.666666666666667
13610,10,1k,16,489600,-0.03850324502907783,0.46222814846516125,136,489600,136.0,5.666666666666667
13611,11,1l,32,489600,-0.34127115350920295,0.3237016534406477,136,489600,136.0,5.666666666666667
13612,12,1m,16,489600,0.2726413755103201,0.6774262944561813,136,489600,136.0,5.666666666666667
13613,13,1n,16,489600,0.1630534397334903,0.4151907204342651,136,489600,136.0,5.666666666666667
13614,14,1o,40,489600,-0.048887074221670636,0.560745580679899,136,489600,136.0,5.666666666666667
13615,15,1p,26,489600,-0.11043484345198101,0.4886138827204135,136,489600,136.0,5.666666666666667
13616,16,1q,250,489600,-0.25999102745536873,0.34958431373951543,136,489600,136.0,5.666666666666667
13617,17,1r,32,489600,0.3817549372693826,0.4147441973365092,136,489600,136.0,5.666666666666667
13618,18,1s,32,489600,-0.1549168558629896,0.3618274482138412,136,489600,136.0,5.666666666666667
13619,19,1t,55,489600,-0.44002301807078953,0.3218125100449727,136,489600,136.0,5.666666666666667
13620,20,1u,64,489600,0.260135620799521,0.41380297090238766,136,489600,136.0,5.666666666666667
13621,21,1v,16,489600,-0.4496553184581624,0.29115606802063565,136,489600,136.0,5.666666666666667
13622,22,1w,16,489600,0.57876847895094,0.36446628869564995,136,489600,136.0,5.666666666666667
13623,23,1x,32,489600,0.2718648137136823,0.3901167354186099,136,489600,136.0,5.666666666666667
13624,24,1y,16,489600,0.6161705308089245,0.3094768770345618,136,489600,136.0,5.666666666666667
13625,25,1z,64,489600,-0.1964517135943726,0.6857047402928949,136,489600,136.0,5.666666666666667
13626,26,1aa,113,489600,0.3632165198304245,0.37777485794419224,136,489600,136.0,5.666666666666667
13627,27,1ab,32,489600,0.2646028663123725,0.30970052779167784,136,489600,136.0,5.666666666666667
13628,28,1ac,128,489600,0.1042527055551602,0.43524154406619286,136,489600,136.0,5.666666666666667
13629,29,1ad,64,489600,-0.48638483590676823,0.36853007617418054,136,489600,136.0,5.666666666666667
13630,30,1ae,8,489600,-0.3461608409945385,0.3076376099317378,136,489600,136.0,5.666666666666667
13631,31,1af,16,489600,0.029201135429732506,0.5273295691228251,136,489600,136.0,5.666666666666667
13632,32,1ag,32,489600,-0.1189147728596054,0.44924767136391547,136,489600,136.0,5.666666666666667
13633,33,1ah,66,489600,-0.03447481208314394,0.4741496887840155,136,489600,136.0,5.666666666666667
13634,34,1ai,32,489600,0.08234599154585474,0.2992786556230741,136,489600,136.0,5.666666666666667
13635,35,1aj,8,489600,0.4568677759399761,0.35412540155235744,136,489600,136.0,5.666666666666667
13636,36,1ak,32,489600,-0.26625023722280117,0.45954044959291224,136,489600,136.0,5.666666666666667
13637,37,1al,32,489600,-0.4117929161562891,0.4073794023666396,136,489600,136.0,5.666666666666667
13638,38,1am,16,489600,0.4368583247095988,0.5351923659327208,136,489600,136.0,5.666666666666667
13639,39,1an,16,489600,0.09045663139006291,0.38861696015263125,136,489600,136.0,5.666666666666667
13640,40,1ao,16,489600,0.6013926533904921,0.3041653434171275,136,489600,136.0,5.666666666666667
13641,41,1ap,32,489600,-0.11057857125096154,0.3887014128047471,136,489600,136.0,5.666666666666667
13642,42,1aq,16,489600,-0.17676435257989023,0.4220382942312542,136,489600,136.0,5.666666666666667
13643,43,1ar,8,489600,-0.22952634246632175,0.15126561937813732,136,489600,136.0,5.666666666666667
13644,44,1as,32,489600,0.3648750648593395,0.42162721544784004,136,489600,136.0,5.666666666666667
13645,45,1at,32,489600,-0.28239364032326963,0.36402357039516847,136,489600,136.0,5.666666666666667
13646,46,1au,64,489600,-0.6523634144913983,0.25009232295730055,136,489600,136.0,5.666666666666667
13647,47,1av,32,489600,0.07275389558398185,0.4288935282360515,136,489600,136.0,5.666666666666667
13648,48,1aw,16,489600,-0.5498290444972284,0.2827621785113973,136,489600,136.0,5.666666666666667
13649,49,1ax,126,489600,0.0021308681260207934,0.41608951471647676,136,489600,136.0,5.666666666666667
13650,50,1ay,64,489600,-0.012640618374983512,0.4827148122620808,136,489600,136.0,5.666666666666667
13651,51,1az,32,489600,0.4291787860847468,0.41327053526463486,136,489600,136.0,5.666666666666667
13652,52,1ba,127,489600,-0.016475040132743073,0.4499447810063188,136,489600,136.0,5.666666666666667
13653,53,1bb,64,489600,0.13794650753338056,0.5031943101867467,136,489600,136.0,5.666666666666667
13654,54,1bc,20,489600,0.524542589713372,0.37574979531488856,136,489600,136.0,5.666666666666667
